emot,score,sentiment
^^v,4,pos
^_^,4,pos
xp,-4,neg
^^V,4,pos
xd,2,pos
xo,2,pos
d:,-4,neg
o.o,-3,neg
o_o,-3,neg
x(,-4,neg
x-(,-4,neg
^^,4,pos
}:),-4,neg
;),4,pos
%-),3,pos
%-(,-3,neg
(:,3,pos
(-:,3,pos
(o;,3,pos
(o:,3,pos
;)),4,pos
)-:,-3,neg
")"":",-5,neg
*_*,-2,neg
):,-3,neg
"--""",-4,neg
--,-3,neg
(^ ^),4,pos
":""(",-5,neg
0:),3,pos
;);),4,pos
:'(,-3,neg
:#,-2,neg
;o),3,pos
:(,-3,neg
:'),3,pos
:(((,-4,neg
:((,-4,neg
:)),4,pos
:),3,pos
^^v,4,pos
^_^,4,pos
xp,-4,neg
^^V,4,pos
xd,2,pos
xo,2,pos
d:,-4,neg
o.o,-3,neg
o_o,-3,neg
x(,-4,neg
x-(,-4,neg
^^,4,pos
}:),-4,neg
;),4,pos
%-),3,pos
%-(,-3,neg
(:,3,pos
(-:,3,pos
(o;,3,pos
(o:,3,pos
;)),4,pos
)-:,-3,neg
")"":",-5,neg
*_*,-2,neg
):,-3,neg
"--""",-4,neg
--,-3,neg
(^ ^),4,pos
":""(",-5,neg
0:),3,pos
;);),4,pos
:'(,-3,neg
:#,-2,neg
;o),3,pos
:(,-3,neg
:'),3,pos
:(((,-4,neg
:((,-4,neg
:)),4,pos
:),3,pos
%-(,-3,neg
%-),3,pos
(-:,3,pos
(:,3,pos
(^ ^),4,pos
(^-^),4,pos
(^.^),4,pos
(^_^),4,pos
(o:,3,pos
(o;,3,pos
")"":",-5,neg
)-:,-3,neg
):,-3,neg
*_*,-2,neg
*___*,-3,neg
--,-3,neg
"--""",-4,neg
0:),3,pos
":""(",-5,neg
:#,-2,neg
:'(,-3,neg
:'),3,pos
:(,-3,neg
:((,-4,neg
:(((,-4,neg
:((((,-5,neg
:(((((,-5,neg
:((((((,-5,neg
:(((((((,-5,neg
:),3,pos
:)),4,pos
:))),4,pos
:)))),5,pos
:))))),5,pos
:)))))),5,pos
:))))))),5,pos
:*,5,pos
:-&,-2,neg
:-(,-4,neg
:-),4,pos
:-*,5,pos
:-/,-3,neg
:-@,-2,neg
:-\,-3,neg
:-d,2,pos
:-o,2,pos
:-p,-4,neg
:-s,-2,neg
:-|,-2,neg
:-},2,pos
:/,-2,neg
:3,3,pos
:9,4,pos
:[,-2,neg
:\,-2,neg
:],3,pos
:_(,-4,neg
:b),4,pos
:c,-4,neg
:d,3,pos
:e,-3,neg
:f,-3,neg
:o,-2,neg
:o(,-3,neg
:o),3,pos
:p,-4,neg
:s,-3,neg
:v,-4,neg
:x,-3,neg
:|,-2,neg
%-(,-3,neg
%-),3,pos
(-:,3,pos
(:,3,pos
(^ ^),4,pos
(^-^),4,pos
(^.^),4,pos
(^_^),4,pos
(o:,3,pos
(o;,3,pos
")"":",-5,neg
)-:,-3,neg
):,-3,neg
*_*,-2,neg
*___*,-3,neg
--,-3,neg
"--""",-4,neg
0:),3,pos
":""(",-5,neg
:#,-2,neg
:'(,-3,neg
:'),3,pos
:(,-3,neg
:((,-4,neg
:(((,-4,neg
:((((,-5,neg
:(((((,-5,neg
:((((((,-5,neg
:(((((((,-5,neg
:),3,pos
:)),4,pos
:))),4,pos
:)))),5,pos
:))))),5,pos
:)))))),5,pos
:))))))),5,pos
:*,5,pos
:-&,-2,neg
:-(,-4,neg
:-),4,pos
:-*,5,pos
:-/,-3,neg
:-@,-2,neg
:-\,-3,neg
:-d,2,pos
:-o,2,pos
:-p,-4,neg
:-s,-2,neg
:-|,-2,neg
:-},2,pos
:/,-2,neg
:3,3,pos
:9,4,pos
:[,-2,neg
:\,-2,neg
:],3,pos
:_(,-4,neg
:b),4,pos
:c,-4,neg
:d,3,pos
:e,-3,neg
:f,-3,neg
:o,-2,neg
:o(,-3,neg
:o),3,pos
:p,-4,neg
:s,-3,neg
:v,-4,neg
:x,-3,neg
:|,-2,neg
%-(,-3,neg
%-),3,pos
(-:,3,pos
(:,3,pos
(^ ^),4,pos
(^-^),4,pos
(^.^),4,pos
(^_^),4,pos
(o:,3,pos
(o;,3,pos
")"":",-5,neg
)-:,-3,neg
):,-3,neg
*_*,-2,neg
*___*,-3,neg
--,-3,neg
"--""",-4,neg
0:),3,pos
":""(",-5,neg
:#,-2,neg
:'(,-3,neg
:'),3,pos
:(,-3,neg
:((,-4,neg
:(((,-4,neg
:((((,-5,neg
:(((((,-5,neg
:((((((,-5,neg
:(((((((,-5,neg
:),3,pos
:)),4,pos
:))),4,pos
:)))),5,pos
:))))),5,pos
:)))))),5,pos
:))))))),5,pos
:*,5,pos
:-&,-2,neg
:-(,-4,neg
:-),4,pos
:-*,5,pos
:-/,-3,neg
:-@,-2,neg
:-\,-3,neg
:-d,2,pos
:-o,2,pos
:-p,-4,neg
:-s,-2,neg
:-|,-2,neg
:-},2,pos
:/,-2,neg
:3,3,pos
:9,4,pos
:[,-2,neg
:\,-2,neg
:],3,pos
:_(,-4,neg
:b),4,pos
:c,-4,neg
:d,3,pos
:e,-3,neg
:f,-3,neg
:o,-2,neg
:o(,-3,neg
:o),3,pos
:p,-4,neg
:s,-3,neg
:v,-4,neg
:x,-3,neg
:|,-2,neg
%-(,-3,neg
%-),3,pos
(-:,3,pos
(:,3,pos
(^ ^),4,pos
(^-^),4,pos
(^.^),4,pos
(^_^),4,pos
(o:,3,pos
(o;,3,pos
")"":",-5,neg
)-:,-3,neg
):,-3,neg
*_*,-2,neg
*___*,-3,neg
--,-3,neg
"--""",-4,neg
0:),3,pos
":""(",-5,neg
:#,-2,neg
:'(,-3,neg
:'),3,pos
:(,-3,neg
:((,-4,neg
:(((,-4,neg
:((((,-5,neg
:(((((,-5,neg
:((((((,-5,neg
:(((((((,-5,neg
:),3,pos
:)),4,pos
:))),4,pos
:)))),5,pos
:))))),5,pos
:)))))),5,pos
:))))))),5,pos
:*,5,pos
:-&,-2,neg
:-(,-4,neg
:-),4,pos
:-*,5,pos
:-/,-3,neg
:-@,-2,neg
:-\,-3,neg
:-d,2,pos
:-o,2,pos
:-p,-4,neg
:-s,-2,neg
:-|,-2,neg
:-},2,pos
:/,-2,neg
:3,3,pos
:9,4,pos
:[,-2,neg
:\,-2,neg
:],3,pos
:_(,-4,neg
:b),4,pos
:c,-4,neg
:d,3,pos
:e,-3,neg
:f,-3,neg
:o,-2,neg
:o(,-3,neg
:o),3,pos
:p,-4,neg
:s,-3,neg
:v,-4,neg
:x,-3,neg
:|,-2,neg
%-(,-3,neg
%-),3,pos
(-:,3,pos
(:,3,pos
(^ ^),4,pos
(^-^),4,pos
(^.^),4,pos
(^_^),4,pos
(o:,3,pos
(o;,3,pos
")"":",-5,neg
)-:,-3,neg
):,-3,neg
*_*,-2,neg
*___*,-3,neg
--,-3,neg
"--""",-4,neg
0:),3,pos
":""(",-5,neg
:#,-2,neg
:'(,-3,neg
:'),3,pos
:(,-3,neg
:((,-4,neg
:(((,-4,neg
:((((,-5,neg
:(((((,-5,neg
:((((((,-5,neg
:(((((((,-5,neg
:),3,pos
:)),4,pos
:))),4,pos
:)))),5,pos
:))))),5,pos
:)))))),5,pos
:))))))),5,pos
:*,5,pos
:-&,-2,neg
:-(,-4,neg
:-),4,pos
:-*,5,pos
:-/,-3,neg
:-@,-2,neg
:-\,-3,neg
:-d,2,pos
:-o,2,pos
:-p,-4,neg
:-s,-2,neg
:-|,-2,neg
:-},2,pos
:/,-2,neg
:3,3,pos
:9,4,pos
:[,-2,neg
:\,-2,neg
:],3,pos
:_(,-4,neg
:b),4,pos
:c,-4,neg
:d,3,pos
:e,-3,neg
:f,-3,neg
:o,-2,neg
:o(,-3,neg
:o),3,pos
:p,-4,neg
:s,-3,neg
:v,-4,neg
:x,-3,neg
:|,-2,neg
;(,-4,neg
;),4,pos
;)),4,pos
;);),4,pos
;o),3,pos
%-(,-3,neg
%-),3,pos
(-:,3,pos
(:,3,pos
(^ ^),4,pos
(^-^),4,pos
(^.^),4,pos
(^_^),4,pos
(o:,3,pos
(o;,3,pos
")"":",-5,neg
)-:,-3,neg
):,-3,neg
*_*,-2,neg
*___*,-3,neg
--,-3,neg
"--""",-4,neg
0:),3,pos
":""(",-5,neg
:#,-2,neg
:'(,-3,neg
:'),3,pos
:(,-3,neg
:((,-4,neg
:(((,-4,neg
:((((,-5,neg
:(((((,-5,neg
:((((((,-5,neg
:(((((((,-5,neg
:),3,pos
:)),4,pos
:))),4,pos
:)))),5,pos
:))))),5,pos
:)))))),5,pos
:))))))),5,pos
:*,5,pos
:-&,-2,neg
:-(,-4,neg
:-),4,pos
:-*,5,pos
:-/,-3,neg
:-@,-2,neg
:-\,-3,neg
:-d,2,pos
:-o,2,pos
:-p,-4,neg
:-s,-2,neg
:-|,-2,neg
:-},2,pos
:/,-2,neg
:3,3,pos
:9,4,pos
:[,-2,neg
:\,-2,neg
:],3,pos
:_(,-4,neg
:b),4,pos
:c,-4,neg
:d,3,pos
:e,-3,neg
:f,-3,neg
:o,-2,neg
:o(,-3,neg
:o),3,pos
:p,-4,neg
:s,-3,neg
:v,-4,neg
:x,-3,neg
:|,-2,neg
;(,-4,neg
;),4,pos
;)),4,pos
;);),4,pos
;c,-3,neg
;o),3,pos
<3,5,pos
<:},3,pos
=(,-4,neg
=),4,pos
==,-3,neg
=[,-4,neg
=],3,pos
@}->--,3,pos
^^,4,pos
^^V,4,pos
^^v,4,pos
^_^,4,pos
d:,-4,neg
o.o,-3,neg
o_o,-3,neg
x(,-4,neg
x-(,-4,neg
xd,2,pos
xo,2,pos
xp,-4,neg
}:),-4,neg
%-(,-3,neg
%-),3,pos
(-:,3,pos
(:,3,pos
(^ ^),4,pos
(^-^),4,pos
(^.^),4,pos
(^_^),4,pos
(o:,3,pos
(o;,3,pos
")"":",-5,neg
)-:,-3,neg
):,-3,neg
*_*,-2,neg
*___*,-3,neg
--,-3,neg
"--""",-4,neg
0:),3,pos
":""(",-5,neg
:#,-2,neg
:'(,-3,neg
:'),3,pos
:(,-3,neg
:((,-4,neg
:(((,-4,neg
:((((,-5,neg
:(((((,-5,neg
:((((((,-5,neg
:(((((((,-5,neg
:),3,pos
:)),4,pos
:))),4,pos
:)))),5,pos
:))))),5,pos
:)))))),5,pos
:))))))),5,pos
:*,5,pos
:-&,-2,neg
:-(,-4,neg
:-),4,pos
:-*,5,pos
:-/,-3,neg
:-@,-2,neg
:-\,-3,neg
:-d,2,pos
:-o,2,pos
:-p,-4,neg
:-s,-2,neg
:-|,-2,neg
:-},2,pos
:/,-2,neg
:3,3,pos
:9,4,pos
:[,-2,neg
:\,-2,neg
:],3,pos
:_(,-4,neg
:b),4,pos
:c,-4,neg
:d,3,pos
:e,-3,neg
:f,-3,neg
:o,-2,neg
:o(,-3,neg
:o),3,pos
:p,-4,neg
:s,-3,neg
:v,-4,neg
:x,-3,neg
:|,-2,neg
;(,-4,neg
;),4,pos
;)),4,pos
;);),4,pos
;c,-3,neg
;o),3,pos
<3,5,pos
<:},3,pos
=(,-4,neg
=),4,pos
==,-3,neg
=[,-4,neg
=],3,pos
@}->--,3,pos
^^,4,pos
^^V,4,pos
^^v,4,pos
^_^,4,pos
d:,-4,neg
o.o,-3,neg
o_o,-3,neg
x(,-4,neg
x-(,-4,neg
xd,2,pos
xo,2,pos
xp,-4,neg
}:),-4,neg
